res://data/Tiles/mapbase.res
31 18
70 70
52 -1 -1
52 0 -1
52 1 -1
52 2 -1
52 3 -1
52 4 -1
52 5 -1
52 6 -1
52 7 -1
52 8 -1
52 9 -1
52 10 -1
52 11 -1
52 12 -1
52 13 -1
52 14 -1
52 15 -1
52 16 -1
52 17 -1
52 18 -1
52 19 -1
52 20 -1
52 21 -1
52 22 -1
52 23 -1
52 24 -1
52 25 -1
52 26 -1
52 27 -1
52 28 -1
52 29 -1
52 30 -1
52 -1 0
52 30 0
52 -1 1
60 29 1
52 30 1
52 -1 2
147 9 2
147 18 2
147 23 2
60 28 2
61 29 2
52 30 2
52 -1 3
60 27 3
61 28 3
52 29 3
52 30 3
52 -1 4
57 1 4
65 2 4
65 3 4
65 4 4
59 5 4
60 26 4
61 27 4
52 28 4
52 29 4
52 30 4
52 -1 5
147 16 5
60 25 5
61 26 5
52 27 5
52 28 5
52 29 5
52 30 5
52 -1 6
52 30 6
52 -1 7
52 30 7
52 -1 8
147 5 8
147 11 8
52 30 8
52 -1 9
52 30 9
52 -1 10
147 19 10
147 24 10
52 30 10
52 -1 11
65 0 11
65 1 11
65 2 11
62 3 11
52 30 11
52 -1 12
52 0 12
52 1 12
52 2 12
63 3 12
62 4 12
147 28 12
52 30 12
52 -1 13
52 3 13
63 4 13
62 5 13
52 30 13
52 -1 14
52 4 14
63 5 14
65 6 14
65 7 14
65 8 14
65 9 14
65 10 14
65 11 14
65 12 14
65 13 14
65 14 14
65 15 14
65 16 14
65 17 14
65 18 14
65 19 14
65 20 14
65 21 14
65 22 14
67 23 14
52 30 14
52 -1 15
52 30 15
52 -1 16
123 0 16
123 1 16
123 2 16
123 3 16
123 4 16
123 5 16
123 6 16
123 7 16
123 8 16
123 9 16
123 10 16
123 11 16
123 12 16
123 13 16
123 14 16
123 15 16
123 16 16
123 17 16
123 18 16
123 19 16
123 20 16
123 21 16
123 22 16
123 23 16
123 24 16
123 25 16
123 26 16
123 27 16
123 28 16
123 29 16
52 30 16
52 -1 17
52 0 17
52 1 17
52 2 17
52 3 17
52 4 17
52 5 17
52 6 17
52 7 17
52 8 17
52 9 17
52 10 17
52 11 17
52 12 17
52 13 17
52 14 17
52 15 17
52 16 17
52 17 17
52 18 17
52 19 17
52 20 17
52 21 17
52 22 17
52 23 17
52 24 17
52 25 17
52 26 17
52 27 17
52 28 17
52 29 17
52 30 17
